"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HS","AS","HST","AST","HC","AC"
"200",2015-02-28,"Dortmund","Schalke 04","3","0","H",31,3,13,0,9,5
"201",2015-02-28,"Ein Frankfurt","Hamburg","2","1","H",19,9,6,5,4,3
"202",2015-02-28,"Hannover","Stuttgart","1","1","D",16,9,5,1,8,4
"203",2015-02-28,"Hertha","Augsburg","1","0","H",9,11,4,3,4,5
"204",2015-02-28,"Hoffenheim","Mainz","2","0","H",16,19,5,4,6,9
"205",2015-02-28,"Leverkusen","Freiburg","1","0","H",11,3,4,2,3,2
"206",2015-03-01,"M'gladbach","Paderborn","2","0","H",19,17,7,3,10,8
"207",2015-03-01,"Werder Bremen","Wolfsburg","3","5","A",10,13,5,6,6,3
"208",2015-03-06,"Stuttgart","Hertha","0","0","D",14,7,3,2,8,2
"209",2015-03-07,"Augsburg","Wolfsburg","1","0","H",12,10,6,2,4,5
"210",2015-03-07,"Freiburg","Werder Bremen","0","1","A",14,16,5,4,6,5
"211",2015-03-07,"Hamburg","Dortmund","0","0","D",4,12,2,2,1,7
"212",2015-03-07,"Hannover","Bayern Munich","1","3","A",4,13,1,3,2,3
"213",2015-03-07,"Mainz","M'gladbach","2","2","D",23,6,7,3,7,4
"214",2015-03-07,"Schalke 04","Hoffenheim","3","1","H",14,18,5,7,3,4
"215",2015-03-08,"FC Koln","Ein Frankfurt","4","2","H",9,12,6,5,4,10
"216",2015-03-08,"Paderborn","Leverkusen","0","3","A",9,11,2,6,9,8
"217",2015-03-13,"Leverkusen","Stuttgart","4","0","H",11,9,5,5,3,4
"218",2015-03-14,"Augsburg","Mainz","0","2","A",13,12,2,7,4,2
"219",2015-03-14,"Dortmund","FC Koln","0","0","D",10,7,5,2,5,2
"220",2015-03-14,"Ein Frankfurt","Paderborn","4","0","H",11,8,6,3,9,3
"221",2015-03-14,"Hertha","Schalke 04","2","2","D",13,12,6,6,3,5
"222",2015-03-14,"Hoffenheim","Hamburg","3","0","H",20,10,7,2,9,6
"223",2015-03-14,"Werder Bremen","Bayern Munich","0","4","A",6,13,3,7,3,3
"224",2015-03-15,"M'gladbach","Hannover","2","0","H",23,7,8,1,2,5
"225",2015-03-15,"Wolfsburg","Freiburg","3","0","H",25,16,8,5,5,5
"226",2015-03-20,"Hamburg","Hertha","0","1","A",13,9,4,3,4,6
"227",2015-03-21,"FC Koln","Werder Bremen","1","1","D",14,11,2,6,8,6
"228",2015-03-21,"Freiburg","Augsburg","2","0","H",15,17,8,6,4,6
"229",2015-03-21,"Hannover","Dortmund","2","3","A",15,13,5,6,8,4
"230",2015-03-21,"Paderborn","Hoffenheim","0","0","D",15,8,7,2,9,4
"231",2015-03-21,"Schalke 04","Leverkusen","0","1","A",13,16,5,7,4,9
"232",2015-03-21,"Stuttgart","Ein Frankfurt","3","1","H",9,11,5,5,2,9
"233",2015-03-22,"Bayern Munich","M'gladbach","0","2","A",16,4,8,4,4,2
"234",2015-03-22,"Mainz","Wolfsburg","1","1","D",22,8,1,3,8,4
"235",2015-04-04,"Dortmund","Bayern Munich","0","1","A",15,7,2,2,2,1
"236",2015-04-04,"Ein Frankfurt","Hannover","2","2","D",13,15,7,6,4,9
"237",2015-04-04,"Freiburg","FC Koln","1","0","H",11,19,4,6,5,7
"238",2015-04-04,"Hoffenheim","M'gladbach","1","4","A",22,12,6,7,5,3
"239",2015-04-04,"Leverkusen","Hamburg","4","0","H",25,4,9,1,7,2
"240",2015-04-04,"Werder Bremen","Mainz","0","0","D",15,15,5,3,3,2
"241",2015-04-04,"Wolfsburg","Stuttgart","3","1","H",23,13,9,5,8,7
"242",2015-04-05,"Augsburg","Schalke 04","0","0","D",21,18,3,3,4,4
"243",2015-04-05,"Hertha","Paderborn","2","0","H",13,8,5,2,3,2
"244",2015-04-10,"Hannover","Hertha","1","1","D",11,9,5,3,10,2
